GioiTinh,TinhTrangHonNhan,NgheNghiep,KhuVuc,HinhThuc,Mang,TienDT,HonNhan
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,168,2
Nam,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Viettel,76,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Viettel,107,2
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraTruoc,Mobiphone,18,1
Nam,DangCoGiaDinh,HSSV,Trung,TraTruoc,Viettel,46,2
Nu,DangCoGiaDinh,TXTN,Nam,TraSau,VinaPhone,195,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,101,1
Nam,DangCoGiaDinh,NCKH,Nam,TraTruoc,Viettel,151,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,67,2
Nam,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,Viettel,67,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,106,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,47,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,111,1
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,167,1
Nu,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,Vietnamobile,104,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraSau,VinaPhone,91,2
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,Viettel,179,1
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,190,1
Nam,DangCoGiaDinh,HSSV,Nam,TraTruoc,Viettel,92,2
Nam,ChuaLapGiaDinh,HSSV,Trung,TraTruoc,Mobiphone,147,1
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,179,1
Nu,ChuaLapGiaDinh,TXTN,Trung,TraSau,VinaPhone,74,1
Nam,DangCoGiaDinh,LaoDongDacBiet,Nam,TraSau,Mobiphone,223,2
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,68,1
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Mobiphone,115,2
Nam,DangCoGiaDinh,NCKH,Nam,TraTruoc,VinaPhone,49,2
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Viettel,87,1
Nu,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,207,2
Nam,LyHon,VHNT,Trung,TraTruoc,Mobiphone,114,3
Nu,DangCoGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,143,2
Nam,ChuaLapGiaDinh,HSSV,Trung,TraSau,Mobiphone,63,1
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,155,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Mobiphone,16,1
Nam,ChuaLapGiaDinh,HSSV,Nam,TraTruoc,Mobiphone,241,1
Nu,DangCoGiaDinh,TXTN,Bac,TraTruoc,Viettel,170,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,134,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,131,2
Nu,ChuaLapGiaDinh,HanhChinh,Bac,TraSau,VinaPhone,36,1
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,199,1
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraSau,Mobiphone,196,1
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,109,2
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,65,1
Nu,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Viettel,205,2
Nam,LyHon,TXCN,Bac,TraTruoc,Viettel,92,3
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,149,2
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,100,1
Nu,DangCoGiaDinh,KyThuat,Nam,TraSau,Mobiphone,44,2
Nu,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,Viettel,91,1
Nam,LyHon,TXTN,Trung,TraTruoc,Mobiphone,81,3
Nu,LyHon,CongNhan,Nam,TraTruoc,Mobiphone,154,3
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,58,1
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,33,2
Nam,ChuaLapGiaDinh,TXTN,Nam,TraSau,Viettel,124,1
Nam,DangCoGiaDinh,TXCN,Nam,TraSau,VinaPhone,146,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,127,1
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,84,2
Nu,DangCoGiaDinh,TXTN,Bac,TraTruoc,Mobiphone,93,2
Nu,DangCoGiaDinh,VHNT,Trung,TraTruoc,Viettel,75,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraSau,Viettel,86,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,133,2
Nam,DangCoGiaDinh,HSSV,Nam,TraTruoc,Viettel,156,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,124,2
Nam,DangCoGiaDinh,TXCN,Trung,TraSau,Viettel,50,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,81,1
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,194,1
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraSau,Mobiphone,183,1
Nu,DangCoGiaDinh,HanhChinh,Bac,TraSau,Vietnamobile,148,2
Nam,DangCoGiaDinh,HSSV,Nam,TraTruoc,VinaPhone,174,2
Nu,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraSau,Viettel,108,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,108,1
Nu,ChuaLapGiaDinh,KyThuat,Bac,TraSau,VinaPhone,66,1
Nam,LyHon,VHNT,Nam,TraTruoc,Mobiphone,158,3
Nam,LyHon,HSSV,Nam,TraTruoc,S-Phone,141,3
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,155,1
Nu,LyHon,TXTN,Trung,TraTruoc,Mobiphone,134,3
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,154,2
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Viettel,148,1
Nam,DangCoGiaDinh,HSSV,Nam,TraSau,VinaPhone,209,2
Nam,LyHon,TXCN,Trung,TraTruoc,S-Phone,59,3
Nam,DangCoGiaDinh,TXCN,Nam,TraSau,VinaPhone,200,2
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,157,2
Nam,ChuaLapGiaDinh,TXTN,Trung,TraSau,Mobiphone,86,1
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,150,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,S-Phone,58,2
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,VinaPhone,50,1
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Viettel,137,1
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Mobiphone,125,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,224,2
Nam,LyHon,CongNhan,Bac,TraTruoc,Mobiphone,110,3
Nam,ChuaLapGiaDinh,TXCN,Trung,TraSau,EVNTelecom,43,1
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,219,2
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,91,1
Nam,LyHon,VHNT,Trung,TraTruoc,VinaPhone,105,3
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Viettel,113,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraTruoc,Viettel,243,2
Nu,DangCoGiaDinh,TXTN,Nam,TraTruoc,Mobiphone,201,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraSau,VinaPhone,262,2
Nam,LyHon,TXCN,Nam,TraSau,Viettel,185,3
Nam,ChuaLapGiaDinh,KyThuat,Bac,TraTruoc,Mobiphone,76,1
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,EVNTelecom,126,2
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraTruoc,Mobiphone,127,1
Nu,ChuaLapGiaDinh,LaoDongDacBiet,Nam,TraSau,Viettel,132,1
Nu,DangCoGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,84,2
Nu,DangCoGiaDinh,HanhChinh,Bac,TraSau,Mobiphone,95,2
Nam,ChuaLapGiaDinh,VHNT,Nam,TraTruoc,VinaPhone,90,1
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Mobiphone,95,2
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,VinaPhone,168,2
Nam,DangCoGiaDinh,CongNhan,Bac,TraSau,S-Phone,58,2
Nam,LyHon,CongNhan,Bac,TraTruoc,VinaPhone,162,3
Nu,DangCoGiaDinh,VHNT,Bac,TraSau,VinaPhone,157,2
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,107,2
Nu,ChuaLapGiaDinh,HSSV,Bac,TraTruoc,Viettel,141,1
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,110,1
Nam,DangCoGiaDinh,KyThuat,Bac,TraSau,Viettel,90,2
Nu,DangCoGiaDinh,VHNT,Bac,TraSau,Mobiphone,28,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,118,1
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Mobiphone,46,2
Nu,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,93,2
Nu,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,200,2
Nu,DangCoGiaDinh,TXTN,Bac,TraSau,VinaPhone,134,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,147,2
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,111,1
Nu,LyHon,TXCN,Bac,TraSau,Mobiphone,161,3
Nam,LyHon,VHNT,Trung,TraTruoc,VinaPhone,118,3
Nam,LyHon,VHNT,Nam,TraSau,Viettel,192,3
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Mobiphone,121,2
Nam,LyHon,LaoDongDacBiet,Trung,TraTruoc,VinaPhone,181,3
Nu,ChuaLapGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,153,1
Nam,DangCoGiaDinh,TXTN,Nam,TraSau,VinaPhone,112,2
Nu,ChuaLapGiaDinh,HSSV,Bac,TraTruoc,Mobiphone,6,1
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,195,2
Nu,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,172,1
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Nam,TraTruoc,Viettel,80,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,122,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,139,2
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,S-Phone,171,1
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Viettel,229,1
Nam,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,VinaPhone,123,1
Nu,DangCoGiaDinh,TXCN,Nam,TraSau,VinaPhone,170,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,Viettel,98,2
Nu,DangCoGiaDinh,NCKH,Trung,TraTruoc,VinaPhone,184,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraSau,VinaPhone,143,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,163,1
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraSau,Viettel,171,1
Nu,DangCoGiaDinh,TXTN,Bac,TraSau,VinaPhone,100,2
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,183,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,134,2
Nu,ChuaLapGiaDinh,LaoDongDacBiet,Nam,TraSau,VinaPhone,202,1
Nam,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Mobiphone,203,1
Nam,DangCoGiaDinh,VHNT,Trung,TraTruoc,Mobiphone,172,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Beeline,126,1
Nam,DangCoGiaDinh,CongNhan,Bac,TraTruoc,Viettel,0,2
Nu,ChuaLapGiaDinh,TXCN,Bac,TraSau,Mobiphone,63,1
Nam,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Viettel,193,1
Nu,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,Mobiphone,60,2
Nu,DangCoGiaDinh,TXTN,Bac,TraTruoc,VinaPhone,64,2
Nu,DangCoGiaDinh,KyThuat,Trung,TraSau,VinaPhone,111,2
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraSau,VinaPhone,184,1
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Viettel,165,2
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,192,2
Nu,ChuaLapGiaDinh,TXTN,Bac,TraSau,VinaPhone,34,1
Nam,DangCoGiaDinh,NCKH,Trung,TraTruoc,Mobiphone,69,2
Nu,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,VinaPhone,32,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,138,1
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,64,1
Nam,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Viettel,152,1
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,205,2
Nu,DangCoGiaDinh,NCKH,Nam,TraTruoc,VinaPhone,173,2
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,201,2
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraSau,VinaPhone,118,1
Nam,DangCoGiaDinh,VHNT,Bac,TraTruoc,Viettel,122,2
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,VinaPhone,87,1
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,191,2
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Viettel,82,1
Nam,DangCoGiaDinh,VHNT,Trung,TraTruoc,Viettel,143,2
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Mobiphone,108,1
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,314,2
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraSau,Viettel,213,1
Nam,DangCoGiaDinh,NCKH,Bac,TraTruoc,VinaPhone,110,2
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,127,2
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,252,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,S-Phone,94,2
Nu,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,107,2
Nam,LyHon,TXTN,Bac,TraTruoc,VinaPhone,117,3
Nu,ChuaLapGiaDinh,NCKH,Nam,TraSau,Mobiphone,157,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,81,1
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,VinaPhone,157,1
Nam,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,Mobiphone,109,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,Mobiphone,118,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Viettel,145,1
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,168,2
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,104,2
Nu,LyHon,LaoDongDacBiet,Trung,TraTruoc,VinaPhone,134,3
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Mobiphone,202,2
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,137,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraSau,Viettel,186,2
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Mobiphone,47,2
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,160,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,VinaPhone,11,1
Nu,ChuaLapGiaDinh,HanhChinh,Trung,TraSau,Mobiphone,214,1
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,Mobiphone,135,2
Nu,DangCoGiaDinh,HanhChinh,Nam,TraSau,Viettel,89,2
Nam,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,Viettel,115,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,EVNTelecom,141,2
Nam,ChuaLapGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,74,1
Nam,DangCoGiaDinh,TXTN,Nam,TraSau,Viettel,100,2
Nam,ChuaLapGiaDinh,TXCN,Nam,TraTruoc,Viettel,223,1
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,VinaPhone,35,2
Nam,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,170,2
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,VinaPhone,111,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraSau,VinaPhone,133,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,143,2
Nu,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,78,2
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,Viettel,160,2
Nu,ChuaLapGiaDinh,VHNT,Trung,TraTruoc,Mobiphone,132,1
Nam,DangCoGiaDinh,TXTN,Bac,TraSau,EVNTelecom,0,2
Nu,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,30,2
Nam,ChuaLapGiaDinh,VHNT,Trung,TraSau,Viettel,65,1
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,113,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,105,1
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Viettel,210,1
Nam,DangCoGiaDinh,VHNT,Nam,TraTruoc,VinaPhone,170,2
Nu,DangCoGiaDinh,KyThuat,Nam,TraSau,VinaPhone,291,2
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraTruoc,Mobiphone,145,1
Nam,LyHon,CongNhan,Trung,TraSau,Viettel,75,3
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,117,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Mobiphone,162,1
Nam,DangCoGiaDinh,VHNT,Trung,TraSau,VinaPhone,49,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Viettel,79,1
Nam,ChuaLapGiaDinh,KyThuat,Trung,TraSau,Mobiphone,0,1
Nam,LyHon,TXTN,Nam,TraTruoc,Viettel,53,3
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,VinaPhone,127,2
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,Viettel,166,1
Nam,ChuaLapGiaDinh,HanhChinh,Nam,TraSau,Viettel,104,1
Nam,DangCoGiaDinh,HanhChinh,Nam,TraTruoc,S-Phone,59,2
Nam,DangCoGiaDinh,TXTN,Bac,TraSau,Mobiphone,139,2
Nam,LyHon,HanhChinh,Nam,TraTruoc,Mobiphone,146,3
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,Viettel,167,2
Nu,LyHon,TXTN,Trung,TraTruoc,Viettel,67,3
Nam,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,171,1
Nu,DangCoGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,92,2
Nam,DangCoGiaDinh,NCKH,Nam,TraTruoc,Mobiphone,174,2
Nam,DangCoGiaDinh,KyThuat,Trung,TraSau,Viettel,112,2
Nu,ChuaLapGiaDinh,VHNT,Bac,TraTruoc,VinaPhone,99,1
Nam,ChuaLapGiaDinh,VHNT,Nam,TraSau,VinaPhone,120,1
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,Mobiphone,78,2
Nu,LyHon,HanhChinh,Nam,TraSau,Viettel,131,3
Nu,LyHon,KyThuat,Bac,TraSau,VinaPhone,94,3
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,VinaPhone,84,2
Nu,ChuaLapGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,91,1
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,79,2
Nu,DangCoGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,139,2
Nam,DangCoGiaDinh,LaoDongDacBiet,Nam,TraTruoc,Viettel,163,2
Nam,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,85,2
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Mobiphone,0,2
Nu,ChuaLapGiaDinh,TXCN,Trung,TraTruoc,Viettel,78,1
Nam,LyHon,TXTN,Nam,TraTruoc,EVNTelecom,138,3
Nu,DangCoGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,18,2
Nam,DangCoGiaDinh,VHNT,Trung,TraTruoc,VinaPhone,131,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,153,2
Nam,ChuaLapGiaDinh,TXTN,Bac,TraTruoc,EVNTelecom,118,1
Nam,DangCoGiaDinh,CongNhan,Trung,TraSau,Beeline,60,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraSau,Mobiphone,202,2
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Trung,TraSau,Viettel,72,1
Nu,ChuaLapGiaDinh,TXTN,Nam,TraTruoc,EVNTelecom,97,1
Nam,DangCoGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,120,2
Nam,ChuaLapGiaDinh,TXTN,Nam,TraSau,S-Phone,210,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,130,2
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,Mobiphone,185,1
Nam,DangCoGiaDinh,KyThuat,Trung,TraTruoc,Viettel,112,2
Nam,DangCoGiaDinh,TXCN,Bac,TraSau,VinaPhone,105,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Mobiphone,226,2
Nu,ChuaLapGiaDinh,CongNhan,Trung,TraSau,Viettel,90,1
Nam,ChuaLapGiaDinh,TXTN,Bac,TraSau,Viettel,135,1
Nam,ChuaLapGiaDinh,NCKH,Trung,TraTruoc,VinaPhone,184,1
Nam,DangCoGiaDinh,TXTN,Trung,TraSau,VinaPhone,10,2
Nam,ChuaLapGiaDinh,VHNT,Trung,TraSau,Viettel,159,1
Nam,ChuaLapGiaDinh,TXCN,Trung,TraSau,Viettel,89,1
Nu,DangCoGiaDinh,VHNT,Nam,TraTruoc,VinaPhone,181,2
Nu,DangCoGiaDinh,HanhChinh,Trung,TraSau,Mobiphone,172,2
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraSau,Viettel,157,1
